Education,Status,Income,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,Deals_Purchases,Web_Purchases,Catalog_Purchases,Store_Purchases,Web_Visits,Cmp3,Cmp4,Cmp5,Cmp1,Cmp2,Complain,Response,Age,Seniority,Total_Children,km_model,hac_model,Tot_Amt_Products,Total_Promotions
Graduate,Alone,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,663,0,1,0,1617,0
Graduate,Alone,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,113,2,2,1,27,0
Graduate,Couple,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,312,0,1,0,776,0
Graduate,Couple,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,139,1,3,3,53,0
Postgraduate,Couple,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,161,1,0,0,422,0
Postgraduate,Couple,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,293,1,0,0,716,0
Graduate,Alone,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,593,1,0,0,590,0
Postgraduate,Couple,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,417,1,3,3,169,0
Postgraduate,Couple,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,388,1,3,3,46,0
Postgraduate,Couple,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,108,2,2,3,49,1
Graduate,Couple,,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,31,226,1,3,3,19,0
Undergraduate,Couple,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,593,0,3,3,61,0
Graduate,Alone,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,226,0,1,0,1102,0
Postgraduate,Alone,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,226,2,0,1,310,0
Graduate,Couple,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,627,0,3,3,46,0
Postgraduate,Alone,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,582,0,1,0,1315,2
Graduate,Couple,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,552,2,2,3,96,0
Graduate,Couple,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,667,0,0,2,317,0
Postgraduate,Couple,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,65,458,1,0,0,1782,1
Undergraduate,Alone,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,29,603,1,3,3,133,0
Graduate,Couple,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,32,690,0,3,2,316,0
Graduate,Couple,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,35,539,1,3,1,1730,0
Postgraduate,Couple,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,65,553,1,0,2,972,1
Postgraduate,Couple,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,169,1,0,0,544,0
Graduate,Couple,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,63,468,1,0,2,444,0
Graduate,Alone,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,45,543,0,3,2,75,0
Graduate,Couple,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,38,398,2,0,1,257,0
Graduate,Alone,,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,28,494,1,1,1,637,0
Graduate,Couple,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,25,394,1,3,3,131,0
Postgraduate,Couple,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,49,219,0,1,0,1672,1
Postgraduate,Alone,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,25,38,0,3,3,30,0
Postgraduate,Couple,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,414,0,1,2,318,0
Graduate,Couple,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,44,627,1,2,1,120,1
